state_name,claims_individual,claims_community,claims_total,titles_individual,titles_community,titles_total,land_individual_acres,land_community_acres,land_total_acres
Andhra Pradesh,285098,3294,288392,226651,1822,228473,454706,526454,981160.00
Assam,148965,6046,155011,57325,1477,58802,NA/NR,NA/NR,NA/NR
Bihar,4696,0,4696,191,0,191,53.03,0.00,53
Chhattisgarh,890220,57259,947479,481432,52636,534068,949770.89,9102957.49,10052728.38
Goa,9757,379,10136,856,15,871,1506.45,18.66,1525.11
Gujarat,183055,7187,190242,98732,4792,103524,168448.83,1240680.15,1409128.99
Himachal Pradesh,4981,683,5664,755,146,901,138.84,62677.24,62816.08
Jharkhand,107032,3724,110756,59866,2104,61970,153395.86,103758.97,257154.83
Karnataka,289236,5940,295176,15355,1345,16700,20296.12,43478.00,63774.12
Kerala,44455,1014,45469,29422,282,29704,38810.58,788651.25,827461.83
Madhya Pradesh,585326,42187,627513,266901,27976,294877,903533.06,1463614.46,2367147.52
Maharashtra,397897,11259,409156,199667,8668,208335,461491.25,3371497.43,3832988.68
Odisha,732530,35843,768373,463129,8990,472119,676078.86,763729.00,1439807.86
Rajasthan,113162,5213,118375,49215,2551,51766,70387.18,239763.95,310151.13
Tamil Nadu,33119,1548,34667,15442,1066,16508,22104.80,60468.77,82573.57
Telangana,651822,3427,655249,230735,721,231456,669689.14,457663.17,1127352.32
Tripura,200557,164,200721,127931,101,128032,465192.88,552.40,465745.28
Uttar Pradesh,92972,1194,94166,22537,893,23430,NA/NR,NA/NR,NA/NR
Uttarakhand,3587,3091,6678,184,1,185,0.00,0.00,0.00
West Bengal,131962,10119,142081,44444,686,45130,21014.27,572.03,21586.29
Jammu & Kashmir,33233,12857,46090,429,5591,6020,NA/NR,NA/NR,NA/NR
TOTAL,4943662,212428,5156090,2391199,121863,2513062,5076618.04,18226536.98,23303155.02
